Video_ID,Absence or Avoidance of Eye Contact,Aggressive Behavior,Hyper- or Hyporeactivity to Sensory Input,Non-Responsiveness to Verbal Interaction,Non-Typical Language,Object Lining-Up,Self-Hitting or Self-Injurious Behavior,Self-Spinning or Spinning Objects,Upper Limb Stereotypies,Background
KvcJpD3hhUU_193_197,1,0,0,1,0,0,0,0,0,0
KvcJpD3hhUU_252_258,0,0,0,0,0,0,0,1,0,0
KvcJpD3hhUU_53_57,0,0,0,0,0,0,0,0,1,0
KvcJpD3hhUU_57_62,0,0,0,0,0,0,0,0,1,0
KW2l0x1tc1U_187_285,0,0,0,1,1,1,0,0,0,0
KW2l0x1tc1U_286_315,1,0,0,1,1,1,0,0,0,0
KW2l0x1tc1U_316_347,0,0,0,0,1,1,0,0,0,0
KW2l0x1tc1U_441_470,0,0,0,0,0,0,0,1,0,0
KW2l0x1tc1U_90_114,1,0,0,1,0,0,0,0,0,0
KZf1QCLLuJQ_142_148,0,0,0,0,0,0,0,0,1,0
KZf1QCLLuJQ_151_154,0,0,0,0,0,0,0,0,1,0
KZf1QCLLuJQ_29_32,0,0,0,0,0,0,0,0,1,0
KZf1QCLLuJQ_51_56,0,0,0,0,0,0,0,0,1,0
KZf1QCLLuJQ_99_104,0,0,0,0,0,0,0,1,0,0
KZKL95b-uqk_108_112,0,0,0,0,0,0,0,0,1,0
KZKL95b-uqk_113_115,0,0,0,0,0,0,0,0,1,0
kzqAUer0FOg_2_4,0,0,0,0,0,0,0,0,1,0
L48pMhkaDtA_15_21,0,1,0,0,0,0,1,0,0,0
L48pMhkaDtA_30_90,0,1,0,0,1,0,1,0,1,0
L48pMhkaDtA_91_117,0,1,0,0,1,0,1,0,0,0
L6yPncK6pQA_6_55,0,1,0,0,0,0,1,0,0,0
lbXjW-cX9kQ_113_123,1,0,0,0,1,0,0,0,0,0
lbXjW-cX9kQ_135_144,1,0,0,1,0,0,0,0,0,0
lbXjW-cX9kQ_250_260,1,0,0,1,0,0,0,0,0,0
lbXjW-cX9kQ_96_102,1,0,0,1,0,0,0,0,0,0
lfs4Hc36ajY_0_3,0,0,0,0,0,0,0,0,1,0
Lj0AjeGyRTk_375_386,1,0,1,0,0,0,0,0,1,0
lMeaeCHOkLk_0_256,0,0,1,0,0,0,1,0,1,0
lMeX-LceLTg_250_256,0,0,0,0,0,0,0,0,0,1
lPIVQaUtF0U_0_90,0,0,0,0,0,0,0,1,0,0
lVi0cgfaiWV0V58_10_15,0,0,1,0,0,0,0,0,0,0
lVi0cgfaiWV0V58_218_223,0,0,1,0,0,0,0,0,0,0
lVi0cgfaiWV0V58_28_32,0,0,1,0,0,0,0,0,0,0
lvQPoNRpQcw_30_35,0,0,0,0,0,0,0,1,0,0
LvyHZZpL4Ww_0_16,0,0,0,0,0,0,0,0,1,0
LvyHZZpL4Ww_30_45,0,0,0,0,0,0,0,0,1,0
mEXh9sDVzGo_18_20,0,1,0,0,0,0,0,0,0,0
mEXh9sDVzGo_32_35,0,1,0,0,0,0,0,0,0,0
mEXh9sDVzGo_51_54,0,1,0,0,0,0,0,0,0,0
mEXh9sDVzGo_67_70,0,1,0,0,0,0,0,0,0,0
mFSC6Zn9qXg_69_75,0,1,0,0,0,0,0,0,0,0
mFSC6Zn9qXg_77_81,0,1,0,0,0,0,0,0,0,0
mFSC6Zn9qXg_93_98,0,1,0,0,0,0,0,0,0,0
MGVAJvNzAqY_0_38,0,1,0,0,0,0,1,0,0,0
MGVAJvNzAqY_55_65,0,1,0,0,0,0,1,0,0,0
mIdwGKR1a0Y_0_30,0,0,0,0,0,0,1,0,0,0
MjYed6U4Deo_15_18,0,0,0,0,0,0,0,0,1,0
mkin5up15XM_0_4,1,0,0,0,0,0,0,0,0,0
mkin5up15XM_10_25,1,0,0,0,0,0,0,0,0,0
mkin5up15XM_26_36,1,0,0,1,0,0,0,0,0,0
mkin5up15XM_37_46,1,0,0,1,0,0,0,0,0,0
mkin5up15XM_46_56,1,0,0,0,0,0,0,0,0,0
mkin5up15XM_57_63,1,0,0,1,0,0,0,0,0,0
mnBWOI4LuKw_131_155,0,0,0,0,0,0,0,0,1,0
MOt-6FAEP_g_94_98,0,0,0,0,0,0,0,0,1,0
mPvmDvReyR8_0_334,0,0,1,0,0,0,0,0,1,0
mRUWWtTjHPE_145_151,0,1,0,0,0,0,1,0,0,0
mRUWWtTjHPE_7_14,0,1,0,0,0,0,1,0,0,0
MT5ryL1iwA4_0_7,0,0,0,0,0,0,0,1,1,0
mV65hpL_upw_0_14,0,0,0,0,0,0,0,0,1,0
ncint_Mi4IM_138_151,0,0,0,0,0,0,0,0,1,0
ncint_Mi4IM_170_175,0,0,0,0,0,0,0,0,1,0
ncint_Mi4IM_219_224,0,0,0,0,0,0,0,0,1,0
ncint_Mi4IM_225_230,0,0,0,0,0,0,0,1,0,0
ncint_Mi4IM_480_493,0,0,0,0,1,0,0,0,1,0
NDcUGYlTy_4_6_12,0,0,0,0,0,0,0,1,0,0
nGoMpqcYcOg_17_23,0,0,0,0,0,0,0,0,1,0
nMpoVxItpUQ_0_11,1,0,0,1,0,0,0,0,0,0
nMpoVxItpUQ_64_76,1,0,1,1,0,0,0,0,0,0
NQ3y6XTyAc4_13_15,0,0,0,0,0,0,0,0,1,0
NQ3y6XTyAc4_9_12,0,0,0,0,0,0,0,1,0,0
NqIahwghnYk_0_5,0,0,0,0,0,0,1,0,0,0
nwLp0k1xa0o_55_64,0,0,0,0,1,0,1,0,0,0
Nxgk374ybVs_0_141,0,0,1,0,0,0,0,1,0,0
O0vCz2KWMM0_622_631,0,0,0,0,1,0,0,0,1,0
O0vCz2KWMM0_678_688,1,0,0,0,0,0,0,0,1,0
O0vCz2KWMM0_74_83,0,0,0,0,0,0,0,0,1,0
OCYjZdI0WCc_193_204,0,0,0,0,0,0,0,0,1,0
OCYjZdI0WCc_291_304,0,0,0,0,0,0,0,0,1,0
OCYjZdI0WCc_314_321,0,0,0,0,0,0,0,0,1,0
OCYjZdI0WCc_357_366,0,0,0,0,0,0,0,0,1,0
OCYjZdI0WCc_84_95,0,0,0,0,0,0,0,0,1,0
OETvkJpwVlY_325_335,0,0,0,0,1,0,0,0,1,0
oIGrxzPMVtw_5_10,0,0,0,0,0,0,0,0,1,0
oukupxRUA84_4_12,0,0,0,0,0,0,0,1,1,0
OWmU5gkkKbQ_675_683,0,0,0,1,0,0,0,0,0,0
oX4UQWI6kFk_123_128,0,0,0,0,1,0,0,0,0,0
OYzB7vocw9s_0_10,0,0,1,0,0,0,0,0,1,0
p1T9hOxj714_0_4,0,0,0,0,0,0,0,1,0,0
p1uOtkt35eg_78_88,1,0,0,1,0,0,0,0,0,0
Pb5GbCMSCd8_0_9,1,0,0,1,0,0,0,0,1,0
pFrQ-tzkPHE_429_441,1,0,0,1,0,0,0,0,0,0
pgj_LKf6jL4_51_58,0,0,0,0,0,0,0,1,0,0
Pir_XaGV81g_24_33,0,0,0,0,0,0,0,0,1,0
Pir_XaGV81g_6_17,0,0,0,0,0,0,0,0,1,0
PPoqVG2MaUuycqd_108_111,0,0,0,0,0,0,0,0,0,1
PPoqVG2MaUuycqd_65_67,0,0,0,0,0,0,0,0,0,1
Prw-a7xJdh8_131_141,0,1,0,0,0,0,0,0,0,0
Prw-a7xJdh8_170_179,0,1,0,0,0,0,0,0,0,0
Prw-a7xJdh8_187_197,0,1,0,0,0,0,0,0,0,0
Prw-a7xJdh8_370_377,1,1,0,1,0,0,0,0,0,0
Prw-a7xJdh8_60_66,0,1,0,0,0,0,0,0,0,0
pSGVb60-BSw_88_104,1,0,0,1,0,0,0,0,0,0
psovZFdqmpU_0_45,0,0,0,0,0,0,1,0,0,0
puhlYl9W1Dw_267_272,0,0,0,0,0,0,1,0,0,0
puhlYl9W1Dw_273_280,0,0,0,0,0,0,1,0,0,0
PxH-Vubdzus_0_69,1,0,1,1,1,0,1,0,1,0
pz1nIbRWb2M_3_7,0,0,0,0,0,0,0,0,1,0
pZcLBTqNfQI_0_5,0,0,0,0,0,0,0,1,1,0
pZiH5nJbz9o_45_62,1,0,0,1,0,0,0,0,0,0
Q-5EeauFxJE_67_85,0,0,1,0,0,0,0,0,0,0
Q2sahz_GDtw_0_43,0,0,0,0,0,0,0,1,0,0
q3SsScFt-nE_0_5,0,0,0,0,0,0,0,1,0,0
q3SsScFt-nE_11_43,0,0,0,0,0,0,0,1,0,0
q49BFPIW6po_0_59,0,0,1,0,0,0,0,1,0,0
Qa5oGXwl8Cc_102_111,1,0,1,1,0,0,0,0,0,0
Qa5oGXwl8Cc_76_84,0,0,1,1,0,0,0,0,0,0
QaZgkIkjE8c_14_18,0,0,1,0,0,1,0,0,0,0
QaZgkIkjE8c_22_42,0,0,0,0,0,1,0,0,0,0
QaZgkIkjE8c_47_56,0,0,0,0,0,1,0,0,1,0
QaZgkIkjE8c_94_126,0,0,0,0,1,1,0,0,0,0
Qcog_lYgbPk_532_542,1,0,1,1,0,0,0,0,0,0
QHpFC1hB4AU_75_84,0,1,0,0,0,0,0,0,0,0
Qieaww93zlo_11_24,1,0,0,1,0,0,0,1,0,0
Qieaww93zlo_25_32,1,0,0,1,0,0,0,0,0,0
Qieaww93zlo_277_289,0,0,0,0,0,0,0,0,1,0
Qieaww93zlo_35_44,0,0,0,1,0,0,0,0,0,0
Qieaww93zlo_355_376,0,0,0,0,0,0,0,0,1,0
Qieaww93zlo_49_58,0,0,0,1,0,0,0,0,0,0
Qieaww93zlo_5_11,0,0,0,1,0,0,0,0,0,0
Qieaww93zlo_62_72,0,0,1,1,0,0,0,0,0,0
Qieaww93zlo_76_99,0,0,1,1,0,0,0,0,0,0
qp4S5PiZUYA_21_155,0,0,0,0,1,1,0,0,1,0
qpD2tWn7RlI_0_135,0,0,1,0,0,0,0,1,1,0
qYeYiDxFcB0_165_175,0,0,0,0,0,0,0,0,1,0
qYeYiDxFcB0_240_245,0,0,0,0,0,0,0,0,1,0
qYeYiDxFcB0_275_288,0,0,0,0,1,0,0,0,1,0
qYeYiDxFcB0_300_325,0,0,0,0,1,0,0,0,1,0
qYeYiDxFcB0_36_41,0,0,1,0,0,0,0,0,1,0
qYeYiDxFcB0_48_53,0,0,0,0,0,0,0,0,1,0
R_gZqQy_Ae4_0_56,0,0,0,0,1,0,0,0,1,0
r8uhOhDjekY_0_20,0,0,0,0,0,0,1,0,0,0
rhFnQXLDKZE_131_138,1,0,0,1,0,0,0,0,0,0
rhFnQXLDKZE_138_145,1,0,0,1,0,0,0,0,0,0
rhFnQXLDKZE_348_359,0,0,0,1,0,1,0,0,0,0
RM77rVRvdsQ_0_10,0,0,0,0,1,0,0,0,1,0
Rr9gtmXpn3g_94_100,0,0,0,0,0,0,0,1,0,0
rU9jz3AtYFs_0_127,0,0,0,0,0,0,0,0,1,0
RubXTO0HJU8_0_2,0,0,0,0,0,0,1,0,0,0
RubXTO0HJU8_23_44,0,0,0,0,0,0,1,0,0,0
RUm6EftQnLY_0_6,0,0,0,0,1,0,0,1,0,0
rYstuEX9Ck51gpj_74_76,1,0,1,0,0,0,0,0,0,0
sAgAvYT3D8s_10_20,0,0,1,0,0,0,0,1,0,0
saKE4Mc7dfU_180_190,0,1,1,1,0,0,0,0,1,0
scM9g0LExJA_1_47,0,0,1,0,0,0,0,1,1,0
SeRc2WcdRA4_0_39,0,0,1,0,0,0,0,1,1,0
SFzPzsxRKgI_67_77,0,0,1,1,0,0,0,0,1,0
sI7ztv9zV-E_14_18,0,0,0,0,0,0,0,0,1,0
sI7ztv9zV-E_67_70,0,0,0,0,0,0,0,0,1,0
sI7ztv9zV-E_74_83,0,0,0,0,0,0,0,0,1,0
sIa69rXttBY_263_277,1,0,0,1,0,0,0,0,0,0
SIAp6jGNQ7A_61_67,0,1,0,0,0,0,0,0,0,0
SJ93HTeKc98_154_161,1,0,0,1,0,0,0,0,0,0
SKmjuJeYhYg_32_37,1,0,0,0,0,0,0,0,0,0
SMjwUxDGFxw_0_12,0,1,1,0,1,0,1,0,0,0
SmR7qWbzZAQ_738_748,1,0,0,0,0,0,0,0,0,0
SOc13pnf-Dc_60_70,0,0,0,0,0,0,0,0,1,0
T7E8PXBLEws_0_62,0,0,1,0,0,0,0,0,1,0
thuWMTF3hY3Cj52_1_3,0,0,1,0,0,0,0,0,0,0
TMaCC-pdpmE_0_1,0,0,0,0,0,0,0,0,1,0
TMaCC-pdpmE_116_143,0,0,0,0,1,0,0,0,1,0
TMaCC-pdpmE_17_23,0,0,0,0,1,0,0,0,1,0
TMaCC-pdpmE_27_41,0,0,0,0,0,1,0,0,0,0
TN8JGl6ebq8_0_37,0,0,0,0,0,0,1,0,0,0
TSfeYedNUNM_0_86,1,0,0,0,0,1,0,0,0,0
tTCSfx47R1w_123_129,0,1,0,0,0,0,0,0,0,0
tTCSfx47R1w_1858_1863,0,0,0,0,1,0,0,0,1,0
tTCSfx47R1w_2375_2383,0,0,0,0,0,0,0,0,1,0
tTCSfx47R1w_2391_2394,0,0,0,0,0,0,1,0,0,0
tTCSfx47R1w_348_352,0,0,0,0,0,0,0,0,1,0
tTCSfx47R1w_453_536,1,1,0,0,0,0,0,0,0,0
tTCSfx47R1w_644_648,0,0,1,0,0,0,0,0,1,0
TvKJE0oYGuM_702_706,0,1,0,1,0,0,0,0,0,0
TvKJE0oYGuM_721_727,0,1,0,1,0,0,0,0,0,0
TVMWW9SejgI_1_10,0,0,1,0,0,0,1,0,0,0
tWjwsm2ULQg_0_172,0,0,1,0,1,0,0,0,1,0
Txp1sYEED5Y_15_17,1,0,0,0,1,0,0,0,1,0
U35q146wMZo_13_33,0,0,1,0,0,0,0,1,0,0
U35q146wMZo_62_81,1,0,1,1,0,0,0,1,1,0
uDtUs-33NaQ_0_22,0,0,1,0,0,0,0,1,0,0
uEsZHuOzeZw_899_908,0,1,0,0,0,0,0,0,0,0
UGhI0MDj67k_74_80,0,0,0,0,0,0,0,1,0,0
ugvB87zzWVs_134_137,0,0,0,0,0,0,0,0,1,0
UiFVub-8FUE_0_7,0,0,0,0,0,0,0,1,1,0
UiFVub-8FUE_7_10,0,0,0,0,0,0,0,0,1,0
uNpUNkjNreg_68_83,0,0,0,0,1,0,0,1,1,0
uRhPVEvTa3s_0_18,0,0,1,0,0,0,0,0,0,0
uWgI1w2fQhs_2_15,0,0,0,0,1,0,0,1,0,0
UxpQpWzhOx0_2_6,0,0,0,0,0,0,0,0,1,0
V-c50HNnPg0_13_14,0,0,0,0,0,1,0,0,0,0
V3bd3czLkGI_32_35,0,0,0,0,0,1,0,0,0,0
V9YDDpo9LWg_53_60,0,0,0,0,0,0,0,0,1,0
VAMZwnfAHyY_3_10,0,0,0,0,0,0,0,1,0,0
veEX2PQCXoQ_0_9,1,0,0,1,1,0,0,0,0,0
veEX2PQCXoQ_16_22,1,0,0,1,0,0,0,0,0,0
veEX2PQCXoQ_25_27,0,0,0,1,0,0,0,0,0,0
vfaviuuOHuY_0_25,0,0,0,1,0,1,0,0,0,0
vfaviuuOHuY_80_113,0,0,1,0,0,1,0,0,0,0
vG5mOYOIfng_714_720,1,0,1,0,0,0,0,0,0,0
VkOjea52SjY_0_12,0,0,0,0,0,0,0,0,1,0
VkOjea52SjY_102_105,0,0,0,0,0,1,0,0,1,0
VkOjea52SjY_133_139,0,0,0,0,0,0,0,1,0,0
VkOjea52SjY_16_20,0,0,0,0,1,0,0,0,1,0
VkOjea52SjY_20_26,0,0,0,0,0,0,0,0,1,0
VkOjea52SjY_28_32,0,0,0,0,0,0,0,0,1,0
VkOjea52SjY_84_90,0,0,0,0,0,1,0,0,0,0
VkOjea52SjY_90_95,0,0,0,0,0,1,0,0,0,0
VkOjea52SjY_95_101,0,0,0,0,0,1,0,0,0,0
VLNwi2CTErc_0_22,0,0,0,0,0,0,0,1,1,0
VN5cKtqQvws_0_13,0,0,0,0,0,0,0,1,0,0
vrFzLP61mt4_0_54,0,0,0,0,0,0,0,1,0,0
Vwlc3fLmipY_0_4,0,0,0,0,0,0,0,1,0,0
VWmNcRO9tgk_0_5,0,0,0,0,0,0,0,1,1,0
VWmNcRO9tgk_101_104,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_105_110,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_111_114,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_114_119,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_119_123,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_124_126,0,0,1,0,0,0,0,0,1,0
VWmNcRO9tgk_126_129,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_129_136,0,0,1,0,0,0,1,0,1,0
VWmNcRO9tgk_136_142,0,0,1,0,0,0,1,0,1,0
VWmNcRO9tgk_163_170,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_17_20,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_170_173,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_173_178,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_179_182,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_190_194,0,0,0,0,0,0,1,0,0,0
VWmNcRO9tgk_194_197,0,0,0,0,0,0,1,0,0,0
VWmNcRO9tgk_197_201,0,0,0,0,0,0,1,0,0,0
VWmNcRO9tgk_201_205,0,0,0,0,0,0,1,0,0,0
VWmNcRO9tgk_211_214,0,0,0,0,0,0,1,0,0,0
VWmNcRO9tgk_214_217,0,0,0,0,0,0,1,0,1,0
VWmNcRO9tgk_218_221,0,0,0,0,0,0,1,0,1,0
VWmNcRO9tgk_266_270,0,0,0,0,0,0,1,0,1,0
VWmNcRO9tgk_277_278,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_284_290,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_296_299,0,0,0,0,1,0,0,0,1,0
VWmNcRO9tgk_299_305,0,0,1,0,0,0,0,0,1,0
VWmNcRO9tgk_48_52,0,0,1,0,0,0,1,0,0,0
VWmNcRO9tgk_5_7,0,0,0,0,1,0,0,0,1,0
VWmNcRO9tgk_54_58,0,0,0,0,1,0,1,0,1,0
VWmNcRO9tgk_62_65,0,0,0,0,0,0,1,0,1,0
VWmNcRO9tgk_69_73,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_73_76,0,0,0,0,0,0,1,1,1,0
VWmNcRO9tgk_77_82,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_82_87,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_88_91,0,0,1,0,0,0,0,0,1,0
VWmNcRO9tgk_91_96,0,0,0,0,0,0,0,0,1,0
VWmNcRO9tgk_96_101,0,0,0,0,0,0,0,0,1,0
VxK45NHvHTg_25_28,0,0,0,0,0,0,0,1,0,0
vygEmelB8jM_0_8,0,0,0,1,0,0,1,0,0,0
vygEmelB8jM_11_21,0,0,0,0,0,0,1,0,0,0
vygEmelB8jM_27_45,0,0,0,1,0,0,1,0,0,0
vygEmelB8jM_52_76,0,0,0,0,0,0,1,0,0,0
vygEmelB8jM_82_89,0,0,0,0,0,0,1,0,0,0
vygEmelB8jM_95_120,0,0,0,0,0,0,1,0,0,0
vZCLfxiQ1YE_0_40,0,0,0,0,0,0,1,0,0,0
w-4uZ0CnCtg_0_38,0,0,0,0,0,0,0,1,1,0
w-4uZ0CnCtg_44_75,0,0,0,0,0,0,0,1,1,0
w-4uZ0CnCtg_80_98,0,0,0,0,0,0,0,1,1,0
w63458pApCk_467_482,1,0,0,1,0,0,0,0,0,0
w63458pApCk_995_1015,1,0,0,1,0,0,0,0,0,0
w9N0_7D_Re8_584_594,0,1,0,0,0,0,0,0,0,0
WF5MokJC8eg_324_326,0,1,0,0,0,0,0,0,0,0
WHG4dXC8BfI_0_25,0,0,0,0,0,0,0,1,0,0
WhKfIBEmdvA_0_8,0,1,1,0,0,0,0,0,0,0
wInXPVQ47Xk_0_27,0,0,1,0,1,0,0,1,1,0
wKCO5K2oYds_208_214,0,1,0,0,0,0,0,0,0,0
wKCO5K2oYds_33_35,0,1,0,0,0,0,0,0,0,0
wKCO5K2oYds_63_65,0,1,0,0,0,0,0,0,0,0
WLtorzPESbc_10_19,0,0,0,0,0,0,0,0,0,1
WNVTsEo0hLI_0_20,1,0,0,0,0,0,0,0,0,0
WRGUUOZ5_wA_18_20,0,1,0,0,0,0,0,0,0,0
WRGUUOZ5_wA_21_23,1,0,0,1,0,0,0,0,0,0
WRGUUOZ5_wA_24_26,0,0,0,0,0,0,0,0,1,0
WRGUUOZ5_wA_32_39,1,0,0,1,0,0,0,0,0,0
WRGUUOZ5_wA_40_48,0,0,0,1,0,0,0,0,0,0
WRGUUOZ5_wA_65_67,0,0,0,0,0,0,0,0,1,0
WRRF4NZB3WQ_363_367,1,0,0,1,0,0,0,0,0,0
WufH7cBgW1E_175_181,1,0,0,1,0,0,0,0,0,0
WufH7cBgW1E_182_190,1,0,0,1,0,0,0,0,0,0
WufH7cBgW1E_191_197,0,0,0,1,0,0,0,0,0,0
wxDzCOyhFXM_0_42,0,0,0,0,0,0,1,0,0,0
wxHdPBM4swg_108_113,0,0,0,0,0,1,0,0,0,0
wxHdPBM4swg_383_386,0,0,0,0,0,1,0,0,0,0
x-u1JmAxWUI_600_615,1,0,1,1,0,0,0,0,0,0
x-u1JmAxWUI_773_776,0,0,0,0,1,0,0,0,1,0
x-u1JmAxWUI_929_945,0,0,0,0,1,0,0,0,1,0
X5OB_53uLDc_606_620,1,0,1,0,0,0,0,0,0,0
XCqdWimi7lw_0_24,1,0,0,1,0,0,0,0,0,0
Xi0UQ2FrtyA_0_182,0,0,1,0,0,1,1,0,1,0
xLLyxE6K0ks_1_8,0,0,0,0,0,0,0,0,1,0
xLLyxE6K0ks_15_18,0,0,0,0,0,0,0,0,1,0
xLLyxE6K0ks_20_28,0,0,0,0,0,0,0,0,1,0
xLLyxE6K0ks_28_30,0,0,1,0,0,0,0,0,1,0
xLLyxE6K0ks_8_12,0,0,0,0,0,0,0,0,1,0
XoncbNShsbrzxs3_124_127,0,0,1,0,0,0,0,0,0,0
XoncbNShsbrzxs3_149_153,0,0,1,0,0,0,0,0,0,0
XV5D2ZL0icM_50_52,0,0,0,0,0,0,0,0,1,0
xxYQ1tzZn_s_100_104,0,1,0,0,0,0,0,0,0,0
xxYQ1tzZn_s_307_316,0,1,0,0,0,0,0,0,0,0
xxYQ1tzZn_s_69_77,0,1,0,0,0,0,0,0,0,0
y_faqd_9atU_0_474,0,0,1,0,0,0,1,0,1,0
Y12IT3GZ1vY_251_257,1,0,0,1,0,0,0,0,0,0
y2j-qMWxgEQ_320_326,0,0,0,1,1,0,0,0,1,0
Y47ZSOaCJSY_30_37,1,0,0,0,0,0,0,0,0,0
Y47ZSOaCJSY_37_88,1,0,0,0,0,0,0,0,0,0
Y8zyAF_pFaA_0_17,0,0,0,0,0,0,1,0,0,0
Yh65lGrD5Qw_31_35,0,1,0,0,0,0,0,0,0,0
Yh65lGrD5Qw_37_43,0,1,0,0,0,0,0,0,0,0
Yh65lGrD5Qw_52_55,0,1,0,0,0,0,0,0,0,0
Yh65lGrD5Qw_68_70,0,1,0,0,0,0,0,0,0,0
yiEo7Kg1ngY_1_25,0,0,0,0,0,0,0,1,1,0
yMDlPO5Z-kQ_0_29,0,0,1,0,1,0,0,0,1,0
yMgx2lVjf5I_1_7,0,0,0,0,1,0,1,0,0,0
YpEITVYeZ60_0_14,0,0,1,0,0,0,0,1,0,0
yqYOcjB88Ag_0_20,0,0,0,0,0,0,0,0,1,0
yrWCvbquAk8_127_129,0,0,0,0,0,1,0,0,0,0
yrWCvbquAk8_13_17,0,0,0,0,0,0,0,1,0,0
yrWCvbquAk8_19_20,0,0,0,0,0,0,0,0,1,0
yrWCvbquAk8_5_12,0,0,0,0,0,0,0,1,0,0
YS-ThGQlEX8_153_162,1,0,0,1,1,0,0,0,0,0
YS-ThGQlEX8_162_172,1,0,0,1,1,0,0,0,0,0
YtvP5A5OHpU_214_224,1,0,1,1,0,0,0,0,0,0
YtvP5A5OHpU_232_243,1,0,1,1,0,0,0,0,0,0
YtvP5A5OHpU_243_254,1,0,0,0,0,0,0,0,0,0
YtvP5A5OHpU_330_340,1,0,0,0,0,0,0,0,1,0
YtvP5A5OHpU_340_350,1,0,0,1,0,0,0,0,0,0
YtvP5A5OHpU_350_360,1,0,0,1,0,0,0,0,0,0
YtvP5A5OHpU_420_430,1,0,1,1,0,0,0,0,0,0
YtvP5A5OHpU_440_450,1,0,1,1,0,0,0,0,0,0
YtvP5A5OHpU_465_475,1,0,1,1,0,0,0,0,0,0
Z-CuJhTIZZk_126_130,0,1,0,0,0,0,0,0,0,0
Z-CuJhTIZZk_230_240,0,1,0,0,0,0,0,0,0,0
Z-CuJhTIZZk_66_77,0,1,0,0,0,0,0,0,0,0
Z2kfvB4lv7A_20_25,0,0,0,0,1,0,0,0,1,0
z7NeBs5wNOA_14_22,0,0,0,0,0,0,0,0,1,0
z7NeBs5wNOA_212_248,1,0,1,1,0,0,0,1,0,0
z7NeBs5wNOA_23_26,0,0,1,0,0,0,0,1,1,0
z7NeBs5wNOA_27_36,0,0,1,0,0,0,0,0,1,0
z7NeBs5wNOA_330_342,0,0,1,0,0,0,0,0,0,0
z7NeBs5wNOA_343_351,0,0,0,0,0,0,1,0,0,0
z7NeBs5wNOA_369_390,0,0,1,0,0,0,0,0,1,0
z7NeBs5wNOA_37_60,0,0,1,0,0,0,0,0,1,0
z7NeBs5wNOA_76_85,0,0,0,0,0,0,1,0,0,0
z7NeBs5wNOA_86_92,0,0,0,0,0,0,1,0,0,0
z7NeBs5wNOA_93_107,1,0,0,1,0,0,1,0,0,0
z9hIxEnLM3g_186_196,0,1,0,0,0,0,0,0,0,0
Z9tovOUMFMs_0_145,0,0,1,0,1,0,0,0,1,0
ZHJr17Q4384_2_35,0,0,0,0,0,0,0,1,0,0
Zin3m0wXkXw_0_43,0,0,1,0,1,0,0,1,0,0
ZpoYOgjJ7T8_94_100,1,0,0,0,0,0,0,1,1,0
ZRsyNJ0d4xw_25_30,0,0,0,0,0,0,0,0,1,0
ZRsyNJ0d4xw_39_52,0,0,0,0,0,0,0,0,1,0
zXoM1GGl563slLM_230_232,0,0,0,0,0,0,0,0,1,0
-9aliPAniig_638_640,1,0,0,0,1,0,0,0,0,0
-9aliPAniig_82_88,0,0,0,0,1,0,0,0,1,0
1PAXSwE85tk_214_227,1,0,0,1,1,0,0,0,0,0
1xiRdgrQiV8_3_10,0,0,0,0,1,0,0,0,0,0
6KD5MUj5Akw_146_177,1,0,0,0,1,0,0,0,1,0
9AJdgIFysFU_19_29,0,0,0,0,1,0,0,0,0,0
9VoushTH20Q_178_190,1,0,0,0,1,0,0,0,0,0
DlN78caqY6w_0_5,0,0,0,0,1,0,0,0,0,0
gPfn-B08px4_289_316,0,0,0,0,1,0,0,0,0,0
IIX4a_6P8J0_121_159,0,0,1,0,1,0,0,0,1,0
MaIl6nK2RAc_193_202,0,0,0,0,1,0,0,0,0,0
puhlYl9W1Dw_399_410,0,0,1,0,1,0,0,0,0,0
z7NeBs5wNOA_249_268,1,0,1,1,1,0,0,0,0,0
0Q-PFTUs_oc_119_230,0,0,0,0,0,0,0,0,0,1
0h6wtH9b-Qo_1870_1908,0,0,0,0,0,0,0,0,0,1
0ihrDFcidU4_110_142,0,0,0,0,0,0,0,0,0,1
1IIROsbjqag_0_15,0,0,0,0,0,0,0,0,0,1
1JPE7GiZDLA_1750_1825,0,0,0,0,0,0,0,0,0,1
1bUeTXs6Wns_640_703,0,0,0,0,0,0,0,0,0,1
1fa9Q8sTD4w_0_57,0,0,0,0,0,0,0,0,0,1
1s6k4k7fg4M_9_50,0,0,0,0,0,0,0,0,0,1
